user_id,remaining_calories,remaining_carbo,remaining_protein,remaining_fat,remaining_cholesterol
0,-491,-69.53,-24.765,-11.502,282
1,814,120.062,42.164,17.856,-12
2,190,22.552,7.79,1.247,-28
3,1397,212.401,70.798,32.252,186
4,-107,-20.05,-3.979,-1.821,129
8,166,26.358,11.485,3.092,61
9,188,33.059,5.489,3.577,-43
12,3059,444.863,163.925,53.448,45
13,-7,1.563,0.242,-0.051,233
14,-349,-48.154,-12.694,-8.316,23
15,1787,267.89,88.683,39.181,35
16,1298,200.898,62.113,29.007,-42
18,1296,196.073,65.229,28.573,-50
21,347,40.305,11.249,9.906,188
23,2548,376.503,126.627,56.349,226
24,904,132.489,44.599,19.809,218
25,-279,-34.819,-7.037,-2.46,-21
27,227,33.74,10.638,4.192,27
28,377,56.603,18.069,8.609,124
29,544,73.703,26.535,11.27,-25
30,1843,276.801,91.214,40.696,151
31,1141,176.148,56.378,25.075,26
32,1341,201.086,66.45,30.302,187
33,356,55.359,15.891,7.839,121
35,-134,-23.377,-5.312,-4.221,126
36,926,131.355,45.485,18.003,-91
37,-145,-24.805,-6.725,-4.773,247
38,487,72.3,22.602,13.334,109
39,784,111.539,36.396,16.124,-58
40,423,67.162,14.386,10.262,168
42,2139,316.08,106.272,47.472,-51
43,176,28.119,11.01,4.553,-30
44,810,129.847,29.086,25.62,286
45,349,43.004,17.063,10.281,141
46,512,68.268,23.538,11.937,-48
47,-87,-19.821,-4.334,-1.696,168
49,2733,418.333,133.376,62.945,179
51,1254,201.712,64.386,27.428,193
52,-441,-64.416,-17.816,-8.608,221
53,653,105.454,32.817,14.279,240
54,356,53.477,17.666,8.592,282
56,1171,157.868,43.761,32.032,-17
57,1872,205.739,116.285,26.137,-27
58,706,105.614,37.285,15.946,12
59,492,73.341,24.271,9.967,145
60,1476,239.968,104.72,49.45,252
61,1234,177.193,61.389,27.515,255
62,347,9.187,11.018,30.775,134
63,1895,286.349,97.504,41.91,-51
64,1863,282.769,93.551,39.904,61
65,-166,-23.261,-13.036,-4.4,257
66,1635,326.276,38.282,18.612,172
67,411,66.215,17.045,7.456,150
68,2266,445.923,53.415,22.875,112
69,-463,-69.812,-22.683,-7.942,80
70,229,35.192,4.387,3.879,-27
71,1823,213.721,133.707,46.102,112
72,334,37.721,8.59,6.925,-77
73,304,36.317,14.44,4.568,153
74,1594,40.674,318.742,18.052,181
77,348,55.209,15.127,5.419,-59
79,286,28.65,16.208,4.495,197
81,2999,448.569,149.927,66.774,7
83,1482,195.818,45.042,38.753,-10
86,496,101.436,10.666,5.225,43
87,804,119.535,40.872,18.706,258
88,919,131.198,46.682,26.375,-86
90,1910,263.248,82.497,49.964,8
92,1571,239.978,78.842,35.152,96
94,145,15.269,9.861,4.042,143
95,1633,245.59,81.435,37.32,266
96,1367,203.155,71.461,31.349,106
97,1073,137.538,46.862,32.234,-65
100,-131,-13.313,-11.623,-4.061,278
103,838,130.464,43.762,18.406,172
104,-215,-34.719,-13.181,-1.23,135
105,381,47.143,19.639,7.427,30
106,-288,-38.248,-17.589,-6.47,182
107,184,23.199,8.948,5.111,107
108,1297,198.401,61.229,29.184,295
109,985,142.079,45.876,22.64,213
111,534,82.829,24.466,12.63,213
113,1597,230.878,79.952,34.186,178
114,1796,268.6,93.476,42.046,-91
115,1799,271.608,91.202,39.3,240
116,71,11.077,3.736,0.185,104
117,-34,-14.386,-3.637,-1.056,127
119,397,54.653,21.764,9.562,18
121,625,100.389,23.464,19.562,290
122,-402,-63.269,-20.544,-8.171,205
123,334,51.692,18.053,7.018,295
124,1915,285.471,92.566,41.63,41
125,1956,239.116,134.856,54.256,110
126,1799,269.842,91.288,40.679,298
127,105,-0.945,2.137,9.187,-37
129,-58,-17.071,-4.877,-1.36,204
131,-140,-18.024,-5.373,-4.731,-71
132,487,1.327,96.781,5.063,80
133,270,36.511,14.988,4.416,174
134,690,95.213,33.484,15.915,191
135,-48,-11.161,-1.766,0.371,143
136,463,83.338,9.806,6.212,35
137,1805,366.498,46.191,21.526,-17
138,-357,-51.816,-19.108,-8.438,81
139,1235,176.533,60.046,26.974,-25
